rank,name,kind,L,src,score_extra,dist_extra,n_near_extra,score_epi,dist_epi,n_near_epi
30,apt_02259,ss,52,mcts,-280.69,2.096905338826725,46,-280.69,5.915034234896702,28
31,apt_00057,ss,50,mcts,-280.54,2.483741935064904,44,-280.54,3.6440326562751677,25
32,apt_01934,ss,50,mcts,-279.66,2.844624931339806,42,-279.66,3.1552478508034776,23
33,apt_00738,ss,50,mcts,-279.33,4.625705351619361,29,-279.33,6.818140068963086,14
34,apt_01795,ss,50,mcts,-279.3,2.4589764130629694,49,-279.3,5.437131780635825,34
35,apt_01097,ss,50,mcts,-279.04,3.7471156907680405,34,-279.04,3.864306017902827,17
36,apt_00125,ss,56,mcts,-278.65,3.086674748009601,50,-278.65,3.5165760335872185,31
37,apt_00158,ss,56,mcts,-277.28,2.3240348534391617,35,-277.28,2.3240348534391617,21
38,apt_01233,ss,50,mcts,-276.99,3.3310397776069824,38,-276.99,5.307675950922401,23
39,apt_02417,ss,50,mcts,-276.71,3.489223695895689,46,-276.71,4.499676655049786,31
40,apt_00313,ss,51,mcts,-276.41,2.6343433716962625,47,-276.41,5.841719181884741,26
41,apt_00796,ss,50,mcts,-276.38,2.2940664768048897,49,-276.38,4.383164153896136,25
42,apt_02337,ss,50,mcts,-276.35,2.5814819387320775,51,-276.35,6.65003954875456,33
43,apt_00844,ss,54,mcts,-277.22,6.018194829016429,48,-276.03,2.5217874613059856,32
44,apt_01282,ss,50,mcts,-275.87,2.3872683133657118,45,-275.87,2.8126354189620746,27
45,apt_00435,ss,50,mcts,-275.67,2.864810988529598,41,-275.67,6.706593322991929,25
46,apt_02473,ss,50,mcts,-275.35,0.7696148387342969,40,-275.35,6.388157324299392,25
47,apt_01967,ss,53,mcts,-275.05,2.5756818514715722,55,-275.05,3.530605897009744,35
48,apt_01667,ss,59,mcts,-274.64,3.623710529277972,50,-274.64,6.664464944764885,29
49,apt_01893,ss,50,mcts,-274.38,3.217941733468778,34,-274.38,4.591525454573902,22
50,apt_01652,ss,55,mcts,-273.33,2.347866052397367,53,-273.33,2.347866052397367,35
51,apt_00660,ss,59,mcts,-272.93,5.85634860642704,39,-272.93,6.572699521505622,17
52,apt_02701,ss,50,mcts,-272.91,2.1945753575578077,44,-272.91,6.3115631978139985,31
53,apt_00581,ss,50,mcts,-272.66,2.9624378474492996,43,-272.66,5.284901985846091,27
54,apt_00923,ss,50,mcts,-272.5,2.6164758741482848,41,-272.5,2.6164758741482848,22
55,apt_00728,ss,50,mcts,-272.35,2.2075565677916407,37,-272.35,2.293669548997863,26
56,apt_02055,ss,51,mcts,-272.13,2.9616922527501055,49,-272.13,6.876140414505789,25
57,apt_00575,ss,50,mcts,-272.11,2.6213128390178873,41,-272.11,2.714756158479062,22
58,apt_00907,ss,53,mcts,-272.08,2.4774141761118615,54,-272.08,4.706440374635589,36
59,apt_00970,ss,56,mcts,-271.79,2.096330126673741,55,-271.79,3.062262725502181,35
60,apt_02637,ss,50,mcts,-271.78,2.524732461073839,45,-271.78,2.524732461073839,29
61,apt_01802,ss,50,mcts,-271.74,2.6877103638599142,44,-271.74,6.379711670600792,29
62,apt_00280,ss,50,mcts,-271.71,2.125423722460989,53,-271.71,2.2711173461536553,42
63,apt_01358,ss,50,mcts,-271.49,2.4272210447340896,46,-271.49,2.7414963067638705,29
64,apt_02339,ss,50,mcts,-271.4,2.5072784049642407,40,-271.4,4.128869578952591,24
65,apt_00623,ss,50,mcts,-271.31,2.759440160612282,55,-271.31,4.165143574956325,33
66,apt_02536,ss,50,mcts,-270.7,2.9329469821324583,34,-270.7,3.246802273006479,17
67,apt_01773,ss,50,mcts,-270.65,2.1514901812464853,44,-270.65,3.4932897102874234,31
68,apt_01825,ss,50,mcts,-270.45,1.2978651701929564,62,-270.45,1.2978651701929564,46
69,apt_00036,ss,52,mcts,-270.33,3.6292772007660274,56,-270.33,6.181897200698187,34
70,apt_00708,ss,50,mcts,-270.3,2.698305023528648,38,-270.3,3.0205474669337735,27
71,apt_00885,ss,50,mcts,-270.29,3.2659597364327846,47,-270.29,4.0368266001898085,23
72,apt_01353,ss,50,mcts,-270.25,2.9706028007796657,50,-270.25,4.418833443342263,28
73,apt_00411,ss,52,mcts,-270.15,2.7881510002150107,49,-270.15,4.281435390146624,22
74,apt_01012,ss,53,mcts,-270.12,3.0504260358186137,41,-270.12,6.662151379246809,21
75,apt_01550,ss,50,mcts,-270.09,2.3963238512354743,48,-270.09,2.8265707137802174,30
76,apt_02405,ss,50,mcts,-269.83,2.671572570603311,53,-269.83,2.9574382495666782,35
77,apt_01197,ss,53,mcts,-269.48,1.9358111994716942,48,-269.48,2.1517569565357464,21
78,apt_00593,ss,51,mcts,-268.73,2.378218030374847,59,-268.73,2.378218030374847,32
79,apt_02192,ss,53,mcts,-268.69,2.0220281897144665,52,-268.69,3.973483484299394,33
80,apt_01402,ss,50,mcts,-268.47,2.512423929196679,42,-268.47,3.434081390998185,24
81,apt_00274,ss,50,mcts,-268.23,2.787633763606713,52,-268.23,2.787633763606713,34
82,apt_02687,ss,50,mcts,-268.2,2.9302441877768506,43,-268.2,2.9302441877768506,27
83,apt_02654,ss,50,mcts,-268.19,3.1927683912241354,49,-268.19,6.990065879517874,36
84,apt_01036,ss,50,mcts,-268.01,2.88914122188584,47,-268.01,6.160567019357884,34
